target,actorAv0,actorAv1,actorAv2,actorAv3,actorAv4,actorAv5,actorAv6,actorAv7,actorAv8,actorAv9,actorPo0,actorPo1,actorPo2,actorPo3,actorPo4,actorPo5,actorPo6,actorPo7,actorPo8,actorPo9,crewAv0,crewAv1,crewAv2,crewAv3,crewAv4,crewAv5,crewAv6,crewPo0,crewPo1,crewPo2,crewPo3,crewPo4,crewPo5,crewPo6
68,6.415384615384614,6.030769230769229,6.491666666666666,5.579999999999997,6.069473684210527,4.842783505154636,6.047222222222221,5.930232558139535,5.873684210526314,5.914999999999999,11.026,5.833,18.564,3.065,3.947,4.521,3.529,2.21,1.778,3.615,5.9923076923076914,6.37605633802817,5.9923076923076914,5.9923076923076914,5.9923076923076914,5.9923076923076914,5.9923076923076914,2.251,0.738,2.251,2.251,2.251,2.251,2.251
64,5.929787234042551,3.864705882352941,6.28421052631579,5.990384615384617,4.495000000000001,6.25,3.971428571428571,6.229411764705883,6.4,6.4,4.374,3.099,2.162,2.564,2.169,1.47,0.6,0.658,0.6,0.6,6.022222222222222,6.022222222222222,6.022222222222222,6.022222222222222,6.022222222222222,6.022222222222222,6.022222222222222,0.652,0.652,0.652,0.652,0.652,0.652,0.652
70,6.739534883720933,5.835294117647062,6.261818181818182,5.444736842105262,5.619565217391305,6.002272727272728,5.369047619047619,7.0,6.475,6.7444444444444445,4.869,5.027,3.664,4.34,5.804,4.085,2.666,0.608,0.6,0.98,6.65,6.8,6.52,7.304347826086956,6.65,6.8,7.0,2.527,1.616,0.98,2.103,2.527,1.616,0.6
79,6.6947368421052635,6.140000000000001,6.537931034482758,4.841666666666668,5.964705882352941,5.038095238095238,7.900000000000001,4.732258064516129,4.423809523809524,6.581250000000002,4.482,6.186,4.658,2.563,2.174,6.931,1.4,1.624,1.585,0.6,7.275000000000001,6.361333333333332,7.900000000000001,7.275000000000001,7.275000000000001,7.275000000000001,7.275000000000001,4.482,1.614,1.4,4.482,4.482,4.482,4.482
67,5.570212765957447,6.101428571428571,6.246428571428572,5.910000000000001,6.030000000000002,6.750000000000002,4.276470588235295,6.1416666666666675,6.937500000000002,4.170588235294119,12.569,8.133,7.781,3.08,3.107,46.267,10.426,2.081,1.186,0.6,6.390476190476191,5.683636363636365,6.186206896551725,6.112500000000002,6.700000000000002,6.112500000000002,6.700000000000002,2.42,1.469,2.856,0.98,1.153,0.98,1.153
66,6.454054054054053,7.315789473684209,6.02,6.317647058823528,5.914754098360657,6.012499999999999,6.0086956521739125,6.139583333333335,5.205555555555555,4.940816326530611,8.088,1.146,4.734,1.417,2.359,0.982,1.216,4.297,2.697,1.076,7.038888888888888,6.316666666666666,6.1,6.1,7.038888888888888,7.038888888888888,7.038888888888888,1.166,0.694,4.216,4.216,1.166,1.166,1.166
83,6.748000000000001,6.588235294117645,6.6952380952380945,4.852380952380953,6.287878787878788,6.595238095238095,8.299999999999999,8.299999999999999,7.419999999999998,8.299999999999999,7.051,4.31,6.652,3.184,1.4,2.904,1.407,1.936,0.865,0.6,4.7439024390243905,6.102,4.7439024390243905,4.7439024390243905,4.7439024390243905,4.7439024390243905,4.7439024390243905,1.787,2.165,1.787,1.787,1.787,1.787,1.787
54,5.773770491803278,6.197826086956524,5.308536585365853,4.744871794871793,5.8419354838709685,6.1,5.260000000000001,5.4,4.874999999999998,5.6,27.131,6.34,2.57,2.871,1.3,2.038,3.311,0.615,2.485,1.62,4.883333333333334,5.4,4.883333333333334,4.883333333333334,4.883333333333334,4.883333333333334,4.883333333333334,3.189,0.6,3.189,3.189,3.189,3.189,3.189
74,6.774468085106382,5.985185185185184,6.661904761904761,6.463636363636366,6.342372881355934,6.446376811594201,5.1938775510204085,6.576190476190478,6.582456140350878,6.596551724137932,12.022,15.208,30.729,6.925,3.755,5.062,10.559,6.693,3.642,3.128,6.050000000000001,5.731578947368422,6.647499999999999,7.195652173913044,7.195652173913044,6.050000000000001,6.050000000000001,3.708,7.5,3.572,4.694,4.179,3.708,3.708
68,5.997777777777778,6.1,6.374285714285715,5.079999999999998,6.314000000000001,5.451515151515152,6.199999999999998,6.578431372549019,4.847560975609755,5.792682926829266,7.238,11.274,5.076,1.542,3.961,4.001,1.005,2.857,1.4,1.624,6.95,6.772727272727272,6.95,7.196153846153847,6.799999999999998,7.424999999999998,7.199999999999998,3.627,2.16,3.627,1.741,1.553,1.244,1.081
44,2.6105263157894734,5.549999999999999,5.608411214953269,2.81578947368421,5.675714285714288,5.937209302325583,5.459259259259259,5.3675675675675665,5.924324324324324,5.425000000000001,2.136,3.256,6.913,1.385,7.897,2.044,7.238,4.409,4.477,1.081,6.03,5.88148148148148,5.643478260869566,6.03,6.03,6.03,6.03,3.632,1.299,1.96,3.632,3.632,3.632,3.632
67,6.773913043478262,6.419047619047619,6.173684210526317,6.670588235294119,6.32,6.092307692307689,5.97391304347826,5.9772727272727275,6.980000000000002,6.227777777777779,4.51,3.119,1.96,3.335,2.445,10.745,6.222,2.8,0.84,2.626,6.6173913043478265,6.426760563380284,6.6173913043478265,6.6173913043478265,6.6173913043478265,6.6173913043478265,6.6173913043478265,2.644,2.164,2.644,2.644,2.644,2.644,2.644
66,6.418333333333334,6.847826086956519,3.9600000000000004,5.959259259259258,5.346031746031748,6.175471698113206,6.716666666666667,5.872093023255815,6.111111111111111,6.395238095238095,12.443,6.254,2.079,14.465,9.197,5.552,5.399,3.051,1.999,0.98,6.395238095238095,6.003658536585364,6.395238095238095,6.57222222222222,6.0290322580645155,6.395238095238095,6.395238095238095,14.465,1.22,14.465,0.618,3.437,14.465,14.465
68,6.164935064935067,4.904999999999999,6.021052631578946,6.232584269662921,6.329999999999998,5.782539682539681,7.2799999999999985,6.15862068965517,5.107692307692307,6.032432432432434,12.445,8.588,7.627,9.959,1.486,4.764,1.4,6.136,3.044,3.448,6.376666666666666,6.392982456140349,6.368965517241379,6.376666666666666,6.376666666666666,6.376666666666666,6.376666666666666,5.674,0.98,3.014,5.674,5.674,5.674,5.674
74,6.125,5.394444444444445,6.320588235294117,7.2058823529411775,6.672727272727275,7.080000000000001,6.426923076923079,6.214285714285714,7.400000000000001,7.400000000000001,5.685,3.53,2.921,2.951,3.137,1.38,0.652,2.066,0.619,2.09,6.82,6.376785714285714,6.82,6.82,6.82,6.82,6.82,8.796,2.262,8.796,8.796,8.796,8.796,8.796
82,7.700000000000002,6.149999999999998,6.062711864406778,4.8982758620689655,6.838888888888891,5.116666666666667,6.018987341772151,8.200000000000001,5.235555555555556,6.745454545454546,1.4,2.846,5.481,2.611,0.67,0.996,2.19,0.6,1.708,0.6,7.075862068965519,6.3193548387096765,7.320000000000002,7.718750000000002,7.075862068965519,7.320000000000002,7.676470588235296,2.967,1.301,0.73,1.22,2.967,0.73,0.972
62,6.241935483870969,6.860714285714287,5.663157894736842,4.258974358974359,5.954285714285714,4.736585365853658,6.200000000000002,6.050000000000002,6.200000000000002,4.75820895522388,6.161,4.057,4.333,2.311,3.672,2.391,8.74,1.872,0.6,1.917,5.923529411764708,6.718750000000002,6.293750000000002,5.923529411764708,5.923529411764708,5.923529411764708,5.923529411764708,0.98,0.6,0.609,0.98,0.98,0.98,0.98
49,4.362500000000001,5.134782608695652,4.2,5.875000000000002,4.8545454545454545,2.9399999999999995,5.74375,5.325,5.7,4.9399999999999995,2.155,1.666,10.217,3.647,0.699,0.828,0.6,1.186,0.6,0.6,4.739999999999999,5.705555555555556,4.739999999999999,3.7399999999999998,4.739999999999999,4.739999999999999,4.739999999999999,1.108,1.3,1.108,0.828,1.108,1.108,1.108
65,5.855357142857144,5.965789473684209,5.297959183673469,6.275510204081631,6.454761904761904,5.782352941176469,6.213793103448276,4.970588235294118,4.8875,6.282352941176471,8.107,12.09,8.332,9.256,8.214,3.061,7.54,5.633,4.593,1.009,5.703225806451611,6.634374999999998,4.515789473684211,5.703225806451611,5.703225806451611,5.703225806451611,5.703225806451611,3.772,0.6,1.605,3.772,3.772,3.772,3.772
63,6.299999999999998,6.499999999999998,6.32941176470588,6.459999999999999,5.1916666666666655,5.3,6.299999999999998,4.978947368421053,6.299999999999998,6.156249999999998,4.213,4.149,3.466,2.225,1.267,2.823,0.708,2.443,1.714,1.108,6.299999999999998,5.458823529411764,6.299999999999998,6.299999999999998,6.299999999999998,6.299999999999998,6.299999999999998,0.833,0.6,4.213,1.092,0.753,4.213,0.833
62,5.494444444444445,6.070833333333333,6.538461538461539,5.96578947368421,6.192857142857143,5.12536231884058,5.420833333333334,6.238095238095239,6.173076923076924,6.200000000000002,5.468,1.567,5.189,5.389,2.641,4.593,2.136,0.63,1.076,0.6,6.112244897959184,6.112244897959184,6.112244897959184,6.112244897959184,6.112244897959184,6.112244897959184,6.112244897959184,0.764,0.764,0.764,0.764,0.764,0.764,0.764
73,5.534920634920635,5.690476190476191,6.05,6.5,6.019999999999999,6.196551724137931,6.061538461538461,5.7625,7.0227272727272725,5.474193548387096,6.412,5.66,12.202,4.304,3.551,4.705,3.108,5.579,1.481,2.759,6.584999999999998,6.832608695652173,6.584999999999998,6.584999999999998,6.584999999999998,6.584999999999998,6.584999999999998,1.826,1.59,1.826,1.826,1.826,1.826,1.826
76,6.244262295081968,6.9833333333333325,6.3260869565217375,6.299999999999999,5.895238095238094,8.559999999999999,7.239999999999998,5.56153846153846,6.599999999999999,7.599999999999999,16.748,2.086,3.992,2.059,0.972,5.888,1.388,1.553,4.658,0.6,6.276190476190475,6.490624999999999,6.626315789473683,6.787499999999999,6.276190476190475,6.276190476190475,6.276190476190475,1.604,2.503,3.194,2.932,1.604,1.604,1.604
